airline,cluster,pc1,pc2
21 AIR,0,-0.40561758542142445,-0.0823533060884985
247 AVIATION,0,-0.45701197664892185,-0.10894789423210971
2EXCEL AVIATION,0,-0.3667950176941375,0.16356487155002533
30 WEST JETS,0,-0.5217115663857154,-0.22146239761819428
4AIRWAYS,0,-0.4409667212247995,-0.10714566686234814
748 AIR SERVICES,0,-0.4118464949708221,-0.0361588327519704
7AIR CARGO,0,-0.5151943169387475,-0.17908658610130443
9 AIR,0,1.364689277315144,-0.735291636758098
ABAKAN AIR,0,-0.42199429262888233,-0.06639736222711545
ABU DHABI AVIATION,0,-0.38444163938835885,0.05178388171433269
ABX AIR,0,-0.3807001993424418,0.020779850528894146
ACASS IRELAND,0,-0.5184529416622314,-0.20027449185974938
ADVANCED AIR,0,-0.3791851766546467,0.16442391480274243
ADVANCED FLIGHT TRAINING,0,-0.5086770674917797,-0.13671077458441452
AEGEAN AIRLINES,0,1.4027780240444931,0.0021817977081059685
AEGEAN EXECUTIVE,0,-0.5184529416622314,-0.20027449185974938
AER LINGUS,0,0.6587906140459713,0.01251984152846354
AERCARIBE CARGO,0,-0.45701197664892185,-0.10894789423210971
AERO,0,-0.38797096372720313,0.02942768374719417
AERO ASAHI,0,-0.32409056825757265,0.2600348610685252
AERO CHARTER,0,-0.4381149458907002,0.03639861519955704
AERO CHARTER AND TRANSPORT,0,-0.40561758542142445,-0.0823533060884985
AERO CLUBE DE COIMBRA,0,-0.5217115663857154,-0.22146239761819428
AERO COATL MEXICANO,0,-0.5217115663857154,-0.22146239761819428
AERO DILI,0,-0.5184529416622314,-0.20027449185974938
AERO K,0,-0.35163761315314224,0.002625253849184147
AERO MONGOLIA,0,-0.42199429262888233,-0.06639736222711545
AERO NOMAD,0,-0.40561758542142445,-0.0823533060884985
AERO SOTRAVIA,0,-0.465335680060331,-0.10155406840576497
AERO TAK,0,-0.5217115663857154,-0.22146239761819428
AERO WAYS,0,-0.46979860734956025,-0.0895622158434263
AERO-BETA FLIGHT TRAINING,0,-0.42060287403781493,0.023486644314402304
AERO-DIENST,0,-0.42199429262888233,-0.06639736222711545
AERO-TECH SERVICES,0,-0.5119356922152636,-0.15789868034285948
AEROCLUB BARCELONA-SABADELL,0,-0.42511641314734494,0.05272523701912348
AERODYNAMICS ACADEMY,0,-0.32063676475331204,0.06446611553167564
AEROFLOT,0,0.3621657026458982,0.5282174239376352
AEROGUARD FLIGHT TRAINING CENTER,0,-0.2580447943321854,0.25313923210668393
AEROITALIA,0,-0.4381149458907002,0.03639861519955704
AEROLINEAS ARGENTINAS,0,0.457214283016655,0.17331404856304963
AEROLINEAS EJECUTIVAS,0,-0.3336579030637522,0.13887715526852118
AEROLINEAS SOSA,0,-0.45701197664892185,-0.10894789423210971
AEROLOGIC,0,-0.34376686562937264,0.05084252640954195
AEROMAS,0,-0.5184529416622314,-0.20027449185974938
AEROMEXICO,0,2.416674851626137,0.7785504862195874
AEROMEXICO CONNECT,0,-0.2904718456282873,0.10000228627511137
AERONAVES TSM,0,-0.2412736684884265,0.8851009939038789
AEROPAPA,0,-0.5217115663857154,-0.22146239761819428
AEROPARTNER,0,-0.40464024126757625,-0.009423562031363325
AEROPYRENEES,0,-0.4381149458907002,0.03639861519955704
AEROREGIONAL,0,-0.45701197664892185,-0.10894789423210971
AEROSAFIN,0,-0.5151943169387475,-0.17908658610130443
AEROSERVICIOS DE LA COSTA,0,-0.3690617171757826,-0.0008191259065837012
AEROSTAN,0,-0.5151943169387475,-0.17908658610130443
AEROSUCRE,0,-0.5021598180448118,-0.09433496306752459
AEROTEC,0,-0.42328390461963095,0.03760066310502765
AEROTOURS,0,-0.5151943169387475,-0.17908658610130443
AEROTRANSCARGO,0,-0.4409667212247995,-0.10714566686234814
AEROTURPIAL,0,-0.5184529416622314,-0.20027449185974938
AEROVIAS DAP,0,-0.3987710524508087,0.015719318998355658
AEROVIS AIRLINES,0,-0.5217115663857154,-0.22146239761819428
AEROWAYS,0,-0.41684190579082214,0.010658787191935568
AEROWEST,0,-0.3639597397670003,0.04240885445102859
AERUS,0,-0.32153317212847904,0.02201729728770222
AFRICA AIRLINES,0,-0.5184529416622314,-0.20027449185974938
AFRICA CHARTER AIRLINE,0,-0.46979860734956025,-0.0895622158434263
AFRICA WORLD AIRLINES,0,-0.3171259267175645,0.02811204665441467
AFRICAN EXPRESS AIRWAYS,0,-0.5184529416622314,-0.20027449185974938
AFRIJET,0,-0.3786529051974338,-0.031240656048465938
AFRIQIYAH AIRWAYS,0,-0.3818896592033628,0.0012103356243360894
AIMS COMMUNITY COLLEGE AVIATION,0,-0.31809502053734034,0.06833912913880914
AIR 1ST AVIATION,0,-0.5184529416622314,-0.20027449185974938
AIR ADELPHI,0,-0.3353115177659851,0.0039160501301835895
AIR ALBANIA,0,-0.5217115663857154,-0.22146239761819428
AIR ALGERIE,0,-0.28735341521895724,0.21940091036194712
AIR ALLIANCE,0,-0.4729332980922188,-0.05868147102858049
AIR ALSIE,0,-0.45701197664892185,-0.10894789423210971
AIR ANTILLES,0,-0.42199429262888233,-0.06639736222711545
AIR ARABIA,0,-0.10021481099989768,0.2173282563338285
AIR ASTANA,0,3.5480943266418974,-1.0245099556542712
AIR ASTRA,0,-0.34716454551623854,-0.011046322010610211
AIR ATLANTA ICELANDIC,0,-0.5217115663857154,-0.22146239761819428
AIR AUSTRAL,0,11.127584158918747,1.4844778839032728
AIR BALTIC,0,2.7303010837903208,-0.06055173401133213
AIR BOHEMIA,0,-0.5119356922152636,-0.15789868034285948
AIR BOREALIS,0,-0.3136379137056621,0.033112027763789596
AIR BOTSWANA,0,-0.43417877216247136,-0.06360156313676468
AIR BURKINA,0,-0.5151943169387475,-0.17908658610130443
AIR BUSAN,0,0.5227741316679979,0.22409798892666846
AIR CA TE D'IVOIRE,0,-0.10575986950934892,0.07761395327447754
AIR CAIRO,0,1.714005135953989,-0.37095871514248946
AIR CALEDONIE,0,-0.34716454551623854,-0.011046322010610211
AIR CAMBODIA,0,-0.43417877216247136,-0.06360156313676468
AIR CANADA,0,1.1251674932685023,0.9547432246710008
AIR CANADA ROUGE,0,-0.2963989138284804,0.12671152352483062
AIR CARAIBES,0,5.8516041768830425,6.19635786325534
AIR CARE ALLIANCE,0,-0.4729332980922188,-0.05868147102858049
AIR CARGO CARRIERS,0,-0.3041371478005329,0.11157430266487134
AIR CENTRAL,0,-0.4138149249754867,0.06703074803998581
AIR CENTURY,0,-0.3817420541778055,-0.016766789589333926
AIR CHANGAN,0,-0.3708833815459123,0.05147009652077524
AIR CHARTER SCOTLAND,0,-0.4318537503893724,-0.008065606848842513
AIR CHARTER SCOTLAND EUROPE,0,-0.5217115663857154,-0.22146239761819428
AIR CHARTERS EUROPE,0,-0.45701197664892185,-0.10894789423210971
AIR CHATHAMS,0,-0.3924023001100073,0.07691709331609732
AIR CHINA,0,1.0417992107912804,1.123157574023361
AIR CHINA CARGO,0,-0.3242237624260748,0.11634469810713186
AIR CHINA INNER MONGOLIA,0,-0.3363884955382289,0.022478130383971777
AIR CLASS,0,-0.5119356922152636,-0.15789868034285948
AIR CORPORATE,0,-0.43867467122143805,0.053039021936799303
AIR CORSICA,0,3.005699931109925,-1.7640184601000155
AIR CREEBEC,0,-0.3198103907455614,0.08529501004649767
AIR DO,0,-0.3342976572248617,0.044812950261969846
AIR DOLOMITI,0,-0.2981285545749151,0.08242445833567899
AIR DREAM COLLEGE,0,-0.3713235569043849,0.014640032094504714
AIR EAGLE,0,-0.5217115663857154,-0.22146239761819428
AIR EUROPA,0,2.6172016952886947,1.2557075047950184
AIR EXCEL,0,-0.5217115663857154,-0.22146239761819428
AIR FALCON,0,-0.5217115663857154,-0.22146239761819428
AIR FLAMENCO,0,-0.42328390461963095,0.03760066310502765
AIR FRANCE,0,0.9299124681231076,0.975375506074367
AIR GREENLAND,0,-0.2334349864934158,0.12409222910884132
AIR GUILIN,0,-0.3818896592033628,0.0012103356243360894
AIR HORIZONT,0,-0.43417877216247136,-0.06360156313676468
AIR INCHEON,0,-0.46979860734956025,-0.0895622158434263
AIR INDIA,0,2.1424370706911926,1.2006679222643004
AIR INDIA EXPRESS,0,1.5907273281134038,0.07563293605838392
AIR INUIT,0,-0.32149216032964023,0.21120840856237258
AIR JAPAN,1,17.666480593807133,18.084081247721397
AIR KEY WEST,0,-0.4409667212247995,-0.10714566686234814
AIR KIRIBATI,0,-0.465335680060331,-0.10155406840576497
AIR KORYO,0,-0.4501414049327101,-0.03069135679099904
AIR LIAISON,0,-0.3639597397670003,0.04240885445102859
AIR LIBYA,0,-0.4209975076340007,-0.029750298467582086
AIR LOYAUTE,0,-0.3786529051974338,-0.031240656048465938
AIR MACAU,0,2.05824343838959,-0.9137561478598746
AIR MANAS,2,41.687591130691125,-26.40997661826285
AIR MAURITIUS,0,3.447863686311877,3.4410440044690245
AIR MEDITERRANEAN,0,-0.40561758542142445,-0.0823533060884985
AIR METHODS,0,-0.3579341830724726,0.14034963033016967
AIR MOANA,0,-0.3667391252792051,-0.0352047473475103
AIR MONTENEGRO,0,-0.4409667212247995,-0.10714566686234814
AIR MOUNTAIN,0,-0.40561758542142445,-0.0823533060884985
AIR NEW ZEALAND,0,0.9773561993121089,0.5063669030255947
AIR NIUGINI,0,-0.3354722135049535,0.1721763191334494
AIR NORTH,0,-0.4349127591308356,0.005598255385515476
AIR NUNAVUT,0,-0.36399420861133597,0.06052072023747535
AIR OCEAN MAROC,0,-0.46979860734956025,-0.0895622158434263
AIR PANAMA,0,-0.3786529051974338,-0.031240656048465938
AIR PEACE,0,0.10218806704982467,0.25393543231447535
AIR PREMIA,0,5.8597368963839145,4.842989049743067
AIR RAROTONGA,0,-0.43417877216247136,-0.06360156313676468
AIR SAFARIS,0,-0.46979860734956025,-0.0895622158434263
AIR SAINT-PIERRE,0,-0.5217115663857154,-0.22146239761819428
AIR SAMARKAND,0,11.746344142145482,-8.381713832005625
AIR SENEGAL,0,4.776789923176257,-2.8382900691976714
AIR SEOUL,0,-0.36293910132500046,-0.011680257171678192
AIR SEYCHELLES,0,5.219276644655919,-3.460735312607351
AIR SPRAY,0,-0.3197809709738839,0.35339429929125243
AIR SUNSHINE,0,-0.3690617171757826,-0.0008191259065837012
AIR TAHITI,0,-0.32270714333762596,0.041309762336896295
AIR TAHITI NUI,0,9.794776729627602,9.25434986465179
AIR TANZANIA,0,7.042054235386643,-0.6507411853548924
AIR TAXI & CHARTER INTERNATIONAL,0,-0.5217115663857154,-0.22146239761819428
AIR TETIAROA,0,-0.47205537702014855,-0.07494291962900654
AIR THANLWIN,0,-0.40208826108258017,-0.05999710812135998
AIR TINDI,0,-0.4419509359954853,-0.05555087619048845
AIR TRANSAT,0,0.686019708654203,0.29887822541927156
AIR TRANSPORT EUROPE,0,-0.3713235569043849,0.014640032094504714
AIR TRANSPORT INTERNATIONAL,0,-0.4318537503893724,-0.008065606848842513
AIR TRAVEL,0,2.793505228627711,-1.33832640277089
AIR TXT,0,-0.5217115663857154,-0.22146239761819428
AIR URGA,0,-0.40208826108258017,-0.05999710812135998
AIR VANUATU,0,-0.5151943169387475,-0.17908658610130443
AIR VOLTA,0,-0.40208826108258017,-0.05999710812135998
AIR WISCONSIN,0,-0.3667391252792051,-0.0352047473475103
AIR ZIMBABWE,0,-0.5119356922152636,-0.15789868034285948
AIR-GLACIERS,0,-0.33347494274991657,0.12094213675972554
AIR-TAXI EUROPE,0,-0.34716454551623854,-0.011046322010610211
AIR1AIR,0,-0.5184529416622314,-0.20027449185974938
AIR65 AVIATION,0,-0.5217115663857154,-0.22146239761819428
AIRACT,0,-0.40561758542142445,-0.0823533060884985
AIRASIA,0,0.4697327464140045,0.34934845790476654
AIRASIA X,0,-0.2928340754271206,0.07142295008677589
AIRBLUE,0,0.029607630870006205,0.0990655461323777
AIRBORNE IMAGING,0,-0.34716454551623854,-0.011046322010610211
AIRBUS,0,3.215684206402621,4.32009605297267
AIRBUS TRANSPORT INTERNATIONAL,0,-0.3264876393224014,0.03596144594815442
AIRCALIN,0,6.83810250400627,-3.956775636348014
AIRCHARTERS WORLDWIDE,0,-0.5184529416622314,-0.20027449185974938
AIRCRAFT MANAGEMENT GROUP,0,-0.37644938776028536,0.06214822711913256
AIREST,0,-0.36293910132500046,-0.011680257171678192
AIREXPLORE,0,-0.4729332980922188,-0.05868147102858049
AIRFAST INDONESIA,0,3.4571747966472706,-2.402308809645805
AIRGO PRIVATE AIRLINE,0,-0.4409667212247995,-0.10714566686234814
AIRHUB AIRLINES,0,-0.5217115663857154,-0.22146239761819428
AIRJET,0,-0.5184529416622314,-0.20027449185974938
AIRKENYA EXPRESS,0,-0.465335680060331,-0.10155406840576497
AIRLEC AIR ESPACE,0,-0.4469654028631097,-0.04421588474808128
AIRLIFT,0,-0.3511468257427224,0.022208578408953787
AIRLINK,0,-0.26163973843269855,0.5560867346722443
AIRMASTER,0,-0.5184529416622314,-0.20027449185974938
AIRNET,0,-0.3136928451844398,0.07527374029219024
AIRNORTH,0,-0.34912869849593103,0.043610902356499205
AIRONE,0,-0.5217115663857154,-0.22146239761819428
AIRPAC AIRLINES,0,-0.3690617171757826,-0.0008191259065837012
AIRQUEST AVIATION,0,-0.5184529416622314,-0.20027449185974938
AIRSERBIA,0,-0.3154726640219861,0.13015049909670862
AIRSF FLIGHT SERVICES,0,-0.35913907737079587,0.01184423300415393
AIRSHARE,0,-0.28401400049076714,0.5973651854016485
AIRSIAL,0,-0.3817420541778055,-0.016766789589333926
AIRSMART,0,-0.39502961240489165,-0.015284712187082904
AIRSPRINT,0,-0.29931507755286224,0.15869842511531587
AIRSTAR CHARTER,0,-0.5151943169387475,-0.17908658610130443
AIRSTREAM,0,-0.5184529416622314,-0.20027449185974938
AIRSWIFT,0,-0.3786529051974338,-0.031240656048465938
AIRTANKER,0,-0.40561758542142445,-0.0823533060884985
AIRTASK,0,-0.4409667212247995,-0.10714566686234814
AIRTRAFFIC,0,-0.34716454551623854,-0.011046322010610211
AIRWORK,0,-0.4520304815510349,-0.015634153163291593
AIRX,0,-0.34340433125901576,0.08842602360761373
AIS AIRLINES,0,-0.32153317212847904,0.02201729728770222
AITHERAS AVIATION GROUP,0,-0.42739082310014315,-0.02005745941118118
AJET,0,1.434322891981927,-0.07371968693998181
AKASA AIR,0,4.201444454455537,-1.1955038825828166
ALADDIN JET,0,-0.5217115663857154,-0.22146239761819428
ALAMAN AIR,0,-0.5184529416622314,-0.20027449185974938
ALANTE AIR CHARTER,0,-0.465335680060331,-0.10155406840576497
ALASKA AIRLINES,0,0.6098318520311286,0.5413015839793943
ALASKA CENTRAL EXPRESS,0,-0.2973843349760791,0.060928376626721646
ALBASTAR,0,-0.5086770674917797,-0.13671077458441452
ALBATROS AIRLINES,0,-0.5217115663857154,-0.22146239761819428
ALBINATI AERONAUTICS,0,-0.5184529416622314,-0.20027449185974938
ALBINATI AVIATION,0,-0.5217115663857154,-0.22146239761819428
ALEXANDRIA AIRLINES,0,-0.5217115663857154,-0.22146239761819428
ALFA AIRLINES,0,-0.5184529416622314,-0.20027449185974938
ALHAYA AVIATION,0,-0.5217115663857154,-0.22146239761819428
ALIDAUNIA,0,-0.40464024126757625,-0.009423562031363325
ALISERIO,0,-0.41684190579082214,0.010658787191935568
ALK AIRLINES,0,-0.5217115663857154,-0.22146239761819428
ALKAN AIR,0,-0.3921961631708095,0.14723656102945168
ALL NIPPON AIRWAYS,0,1.5453501252596,1.1056287048986388
ALLEGIANT AIR,0,0.24495494824376648,0.10796403888851175
ALLIANCE AIR,0,-0.31753409333719046,0.0888518873432865
ALLIANCE AIRLINES,0,-0.28978125088651024,0.14136009005675002
ALLIANCE EXECUTIVE JETS,0,-0.45701197664892185,-0.10894789423210971
ALLIED AIR,0,-0.5119356922152636,-0.15789868034285948
ALMASRIA UNIVERSAL AIRLINES,0,-0.39502961240489165,-0.015284712187082904
